"","X1","X2","FEDENAME","FEDNAME","FEDFNAME","PRNAME"
"317",-124.179915763753,49.0951810462338,"Nanaimo--Ladysmith","Nanaimo--Ladysmith","Nanaimo--Ladysmith","British Columbia / Colombie-Britannique"
"318",-118.814814273373,50.5891309000022,"North Okanagan--Shuswap","North Okanagan--Shuswap","North Okanagan--Shuswap","British Columbia / Colombie-Britannique"
"319",-123.017346760826,49.4432508244493,"North Vancouver","North Vancouver","North Vancouver","British Columbia / Colombie-Britannique"
"320",-122.543982744747,49.5610476881771,"Pitt Meadows--Maple Ridge","Pitt Meadows--Maple Ridge","Pitt Meadows--Maple Ridge","British Columbia / Colombie-Britannique"
"321",-122.854932640231,49.2941613545004,"Port Moody--Coquitlam","Port Moody--Coquitlam","Port Moody--Coquitlam","British Columbia / Colombie-Britannique"
"322",-122.879114617882,57.0583063498736,"Prince George--Peace River--Northern Rockies","Prince George--Peace River--Northern Rockies","Prince George--Peace River--Northern Rockies","British Columbia / Colombie-Britannique"
"323",-123.605394009177,48.4172378894417,"Esquimalt--Saanich--Sooke","Esquimalt--Saanich--Sooke","Esquimalt--Saanich--Sooke","British Columbia / Colombie-Britannique"
"324",-123.497372121808,48.8138160983361,"Saanich--Gulf Islands","Saanich--Gulf Islands","Saanich--Gulf Islands","British Columbia / Colombie-Britannique"
"325",-123.132649143696,49.2872770048441,"Vancouver Centre","Vancouver Centre / Vancouver-Centre","Vancouver-Centre","British Columbia / Colombie-Britannique"
"326",-123.063311448373,49.2736761621907,"Vancouver East","Vancouver East / Vancouver-Est","Vancouver-Est","British Columbia / Colombie-Britannique"
"327",-122.717539002293,49.1231178845192,"Cloverdale--Langley City","Cloverdale--Langley City","Cloverdale--Langley City","British Columbia / Colombie-Britannique"
"328",-123.129983978441,49.238010552202,"Vancouver Granville","Vancouver Granville","Vancouver Granville","British Columbia / Colombie-Britannique"
"329",-125.791800313137,51.1198051123149,"North Island--Powell River","North Island--Powell River","North Island--Powell River","British Columbia / Colombie-Britannique"
"330",-123.061664649048,49.2449572082792,"Vancouver Kingsway","Vancouver Kingsway","Vancouver Kingsway","British Columbia / Colombie-Britannique"
"331",-123.198238744036,49.2491764839268,"Vancouver Quadra","Vancouver Quadra","Vancouver Quadra","British Columbia / Colombie-Britannique"
"332",-123.0694497121,49.218708325178,"Vancouver South","Vancouver South / Vancouver-Sud","Vancouver-Sud","British Columbia / Colombie-Britannique"
"333",-123.330679296547,48.4369678659491,"Victoria","Victoria","Victoria","British Columbia / Colombie-Britannique"
"334",-123.317693966404,50.1302289785785,"West Vancouver--Sunshine Coast--Sea to Sky Country","West Vancouver--Sunshine Coast--Sea to Sky Country","West Vancouver--Sunshine Coast--Sea to Sky Country","British Columbia / Colombie-Britannique"
"335",-135.509948982932,63.6292121402918,"Yukon","Yukon","Yukon","Yukon"
"336",-119.643285208225,64.3674096901622,"Northwest Territories","Northwest Territories / Territoires du Nord-Ouest","Territoires du Nord-Ouest","Northwest Territories / Territoires du Nord-Ouest"
"337",-98.6428996941931,65.9158684442338,"Nunavut","Nunavut","Nunavut","Nunavut"
